NM_BAIRRO,setores,iqu_mediano,total_equipamentos,saude,educacao,mobilidade,qualidade_vida,servicos_essenciais,seguranca
Jardim Veredas I e II,1,7.01,11,1,1,7,2,0,0
Residencial Pioneiro Honorato Vecchi,1,5.55,8,1,2,5,0,0,0
Jardim Atami,1,4.57,14,0,1,12,1,0,0
Jardim Pinheiros I,1,3.86,10,1,0,9,0,0,0
Jardim Três Lagoas Maurílio Correia Pinho,2,3.48,17,0,1,10,6,0,0
Jardim Oriental,2,3.42,14,0,2,8,4,0,0
Jardim Andrade,1,3.23,10,0,1,9,0,0,0
Jardim do Carmo e LT 40,1,3.16,8,0,1,7,0,0,0
Conjunto Habitacional SANENGE,1,3.09,7,0,1,6,0,0,0
Jardim Novo Oásis,4,3.04,19,0,1,13,2,3,0
Jardim Industrial,2,2.88,7,1,1,5,0,0,0
"J. S. Miguel 1ª e 2ª P e L 41 e 42, Ch Estilo e J. Aurora",1,2.83,5,0,1,4,0,0,0
Jardim Seminário,1,2.83,5,0,1,4,0,0,0
Jardim Lucianópolis,1,2.83,5,0,1,4,0,0,0
Jardim Tarumã (PQ E RES.),4,2.8,26,0,2,23,1,0,0
Jardim Imperial II,4,2.77,15,0,1,10,2,2,0
Jardim Munique,1,2.69,8,0,0,7,1,0,0
Jardim Monte Rei,2,2.68,11,0,1,9,1,0,0
Moradia Atenas 1ª e 2ª Parte,2,2.66,11,0,1,8,2,0,0
Jardim Novo Horizonte I,2,2.62,7,1,0,5,0,1,0
Recanto dos Magnatas,3,2.56,15,0,0,12,0,3,0
Conjunto Residencial Planville,1,2.56,6,0,0,5,0,1,0
Jardim Campos Elíseos,2,2.52,14,1,0,13,0,0,0
Chác Mandacarú/ Jardim Imperador/Pilar e Ícaro,1,2.51,6,0,0,5,1,0,0
Jardim Aclimação,2,2.48,12,0,0,9,1,2,0
Conjunto Habitacional Paulino Carlos Filho,2,2.46,12,1,0,11,0,0,0
Residencial Pioneiro Odwaldo Bueno Netto,1,2.45,3,0,1,2,0,0,0
Jardim Mandacaru,1,2.41,5,0,0,4,0,1,0
Parque das Grevíleas,8,2.38,24,1,4,15,2,2,0
Vila Esperança II,6,2.33,22,1,2,18,1,0,0
Conjunto Residencial João de Barro Champagnat,2,2.22,17,0,1,16,0,0,0
Conjunto Residencial Ney Braga,5,2.2,21,1,2,16,1,1,0
Parque Residencial Patrícia,2,2.2,8,0,0,6,1,1,0
Conjunto Residencial João de Barro Itaparica,2,2.16,12,0,2,10,0,0,0
Conjunto Residencial Governador Parigot de Souza,2,2.09,5,0,1,3,1,0,0
"Jardim Moreschi, Jardim Carolina e Alto da Boa Vista",2,2.07,7,0,0,5,1,1,0
Conjunto Residencial Rodolpho Bernardi,2,2.04,12,0,1,11,0,0,0
Parque das Palmeiras,4,1.99,21,0,3,16,1,1,0
Vila Marumbi,2,1.98,13,0,0,11,0,2,0
Jardim São Clemente,2,1.93,9,0,1,8,0,0,0
Liberdade,6,1.57,20,1,1,16,0,2,0
Jardim Higienópolis,2,1.5,7,0,0,5,2,0,0
Conjunto Habitacional Sol Nascente,3,1.48,35,0,1,34,0,0,0
Conjunto Habitacional SANENGE III,1,1.47,10,0,0,10,0,0,0
Jardim Dourado,1,1.42,8,0,0,8,0,0,0
Conjunto João de Barro I,1,1.42,8,0,0,8,0,0,0
Recanto Kakogawa,1,1.42,8,0,0,8,0,0,0
Conjunto Residencial Angelo Palmas,1,1.42,8,0,0,8,0,0,0
Parque Hortência I,2,1.4,15,0,0,15,0,0,0
Jardim Indaiá I e Indaiá II,1,1.38,7,0,0,7,0,0,0
Jardim Santa Helena,2,1.34,5,0,0,4,1,0,0
Jardim Ipanema,2,1.34,5,0,0,4,0,1,0
"Condomínios Santa Marina, Bela Vista I e II",2,1.32,14,0,0,14,0,0,0
"Jardim Paris (Paris III, IV, V E VI)",9,1.32,28,1,2,24,1,0,0
Jardim Los Angeles,1,1.32,6,0,0,6,0,0,0
Conjunto Residencial Branca de Jesus Camargo Vieira,4,1.26,23,0,1,22,0,0,0
Parque Itaipu,5,1.2,19,0,1,17,0,1,0
Conjunto Residencial Guaiapó,5,1.2,27,1,3,23,0,0,0
Conjunto João de Barro Thais,3,1.2,12,0,2,10,0,0,0
Jardim Maravilha,1,1.2,5,0,0,5,0,0,0
Conjunto Residencial João de Barro Porto Seguro I,1,1.2,5,0,0,5,0,0,0
Conjunto Residencial Léa Leal,3,1.2,16,0,1,15,0,0,0
Conjunto Residencial João de Barro Cidade Canção,1,1.2,5,0,0,5,0,0,0
Jardim Espanha,2,1.19,10,0,0,10,0,0,0
Jardim São Silvestre,4,1.19,21,1,1,19,0,0,0
