NM_SUBDIST,setores,iqu_mediano,iqu_media,total_equipamentos,area_km2,saude,educacao,mobilidade,qualidade_vida,servicos_essenciais,seguranca,equip_por_km2,iqu_ponderado,cluster,pca_x,pca_y
Zona 1,29,2.96,1.677241379310345,76,1.3337473509568467,5,4,27,15,25,0,56.98,2.96,1,3.501421620262013,2.5518475703293197
Zona 10,1,6.92,6.92,10,0.80335830542126,1,1,7,0,1,0,12.45,6.92,2,-1.1719838036892003,2.4961486191218265
Zona 11,6,2.83,1.96,15,0.5448624283403978,0,2,9,1,3,0,27.53,2.83,2,-1.308634765691485,0.39741548829372936
Zona 12,1,0.89,0.89,3,0.0850985228557286,0,0,3,0,0,0,35.25,0.89,2,-2.2829996720667833,-0.4890770494269445
Zona 13,1,1.2,1.2,5,0.0860585658387683,0,0,5,0,0,0,58.1,1.2,2,-2.2276035826899805,-0.3639003510757587
Zona 14,5,2.37,2.378,22,0.7482270774482438,0,2,10,1,4,5,29.4,2.37,2,-1.1791332455683743,1.3026383216212754
Zona 15,3,1.41,1.1333333333333333,5,0.2830943592877129,0,0,3,1,0,1,17.66,1.41,2,-2.0993964978511914,0.008028174518087858
Zona 17,12,1.42,1.26,31,1.2235829292759224,0,4,24,1,2,0,25.34,1.42,2,-1.127168765166088,-0.7411741338807606
Zona 18,2,1.94,1.38,6,0.6457925717924793,0,0,4,0,2,0,9.29,1.94,2,-1.9585379153187783,0.1354963433529998
Zona 19,23,2.01,1.931304347826087,130,6.207632351138438,1,8,109,12,0,0,20.94,2.01,0,1.5000470885137185,-1.5993398646186203
Zona 2,10,3.45,2.849,50,2.1697376242911384,0,6,24,12,8,0,23.04,3.45,1,1.1753717895570486,0.7455855455028573
Zona 20,29,1.42,1.1920689655172414,87,4.617302704505284,7,2,70,5,3,0,18.84,1.42,0,0.506752313588868,0.05384778013856809
Zona 21,21,2.0,1.789047619047619,83,1.8681642182796645,2,4,69,3,5,0,44.43,2.0,0,0.16032004706728126,-0.4965860531515433
Zona 22,5,0.78,1.686,23,3.965068660613511,0,2,20,1,0,0,5.8,0.78,2,-1.7266994883456925,-0.9290174806795993
Zona 23,19,1.68,1.3294736842105264,49,1.851763156555082,0,2,37,4,6,0,26.46,1.68,2,-0.548236823144388,-0.2393324232770191
Zona 24,36,1.97,1.7197222222222222,120,3.4456719461265983,5,5,82,16,10,2,34.83,1.97,1,2.761846246546817,0.7782768058343016
Zona 25,23,1.28,1.6604347826086956,97,4.523579492446512,2,6,87,1,1,0,21.44,1.28,0,-0.057164284236028415,-1.5868353819834318
Zona 26,1,4.47,4.47,9,0.2345444184425487,0,1,7,1,0,0,38.37,4.47,2,-1.5766493192489666,1.1283905466444526
Zona 27,27,1.25,0.9222222222222222,53,1.7551580432559208,1,1,41,6,4,0,30.2,1.25,2,-0.5466111969651258,-0.32568734641093483
Zona 28,10,2.34,2.413,54,1.5443921246690684,2,2,42,2,5,1,34.97,2.34,2,-0.45300649388341185,0.39770188385675564
